|id|generator_name|country|ic_kw|technology|subsidy|accreditation|commissioned|rlf|alf|latest_data|latest_mwh_p_a|latest_rocs_p_a
8055|G05753PVEN|Aldi Romford 2|England|50|Photovoltaic|FiT|2014-10-07|2014-09-30|||2015-08|35.0|
8056|R00364NZNI|Wind Turbine - McGimpsey|NI|11|On-shore wind|RO|2010-07-22|2010-06-01|19.8%|9.3%|2014-03|9.0|
8057|G05858PVEN|Aldi Nuneaton|England|50|Photovoltaic|FiT|2014-11-26|2014-11-24|||2015-08|35.0|
8058|G01641PVWA|Cross Hands Llanelli|Wales|50|Photovoltaic|FiT|2013-11-27|2013-06-23|7.3%|7.3%|2015-08|32.0|
8059|R00031RZEN|Carnebone- D, Y, agent is TL|England|70|On-shore wind|FiT|2006-05-01|2006-05-01|2.5%|3.9%|2018-03|24.0|
8060|G04826PVEN|lowpark farm|England|49|Photovoltaic|FiT|2013-03-17|2012-03-02|5.8%|6.7%|2015-08|29.0|
8061|G04696PVEN|CROCKERS HELE SOLAR ARRAY 2 (BARN)|England|20|Photovoltaic|FiT|2012-09-27|2012-07-09|11.3%|12.3%|2018-06|21.0|
8062|R00017RYEN|Belsford Mill - D, Y, agent is TL|England|10|Hydro|RO|2004-04-01|1970-01-01|18.1%|12.5%|2007-03|11.0|11.0
8063|G06352PVEN|Cherwell Farm|England|50|Photovoltaic|FiT|2014-07-28|2014-03-26|4.8%|4.3%|2017-10|19.0|
8064|R00068SZSC|Lochside - Y (13/11/2007) agent is SSE|Scotland|6|On-shore wind|FiT|2007-11-01|2007-07-01|32.7%|31.6%|2010-03|17.0|
8065|G07598PVEN|ES15115 - BOLTON|England|50|Photovoltaic|FiT|2016-05-27|2015-12-01|||2017-04|34.0|
8066|G05925PVEN|Aldi Market Harborough|England|50|Photovoltaic|FiT|2014-12-23|2014-12-18|||2015-08|34.0|
8067|G01542PVSC|Aldi Cupar|Scotland|50|Photovoltaic|FiT|2015-06-19|2015-06-19|||2015-08|17.0|
8068|G06181PVEN|Melrose Extension|England|215|Photovoltaic|FiT|||||2015-04|34.0|
8069|G02695NWEN|Yew Tree Farm Turbine Output Data|England|11|On-shore wind|FiT|2015-03-18|2012-10-24|||2016-03|17.0|
8070|G04494PVEN|Barnstaple|England|50|Photovoltaic|FiT|2012-03-28|2011-11-23|||2013-06|17.0|
8071|G06437PVEN|Aldi Seacroft|England|50|Photovoltaic|FiT|2015-06-19|2015-06-16|||2015-08|17.0|
8072|G05725PVEN|Aldi Wickford|England|50|Photovoltaic|FiT|2014-10-07|2014-09-15|||2015-08|34.0|
8073|G01822NWSC|Martin Mowat|Scotland|20|On-shore wind|FiT|2012-10-03|2011-05-19|||2013-11|34.0|
